"","term","estimate","std.error","statistic","p.value","boot"
"1","tpoly1",-0.000330331685102784,3.34931117881897e-05,-9.86267526265699,8.65882490485834e-23,1
"2","tpoly2",-1.45528626642034e-05,2.10619460378146e-06,-6.9095527251258,5.31394636776008e-12,1
"3","tpoly3",1.07553615606807e-06,1.306067770974e-07,8.234918432035,2.14459270016965e-16,1
"4","tpoly4",4.63704400962539e-08,4.77398820708212e-09,9.7131450864215,3.71928002916065e-22,1
"5","tpoly1_lag1",-0.000662202423238449,3.33314170881112e-05,-19.8672148108172,2.26766928326592e-85,1
"6","tpoly2_lag1",-2.83764035939101e-05,2.1438866226698e-06,-13.2359628041211,1.71465657518935e-39,1
"7","tpoly3_lag1",1.12620219975791e-07,1.32077720397325e-07,0.852681433605905,0.393866730540233,1
"8","tpoly4_lag1",3.8929185757156e-08,4.64556074967563e-09,8.37986797608323,6.40428313043084e-17,1
"9","tpoly1_lag2",-0.000374974651448604,3.20835708443468e-05,-11.6874350822042,2.98446256887636e-31,1
"10","tpoly2_lag2",-1.14790293670567e-05,2.06251220298312e-06,-5.56555706698558,2.71516857864566e-08,1
"11","tpoly3_lag2",3.49311933252988e-07,1.33533690411175e-07,2.61590863082861,0.00891916899252363,1
"12","tpoly4_lag2",1.0745607706099e-10,4.34822030667509e-09,0.0247126570141883,0.980284901593111,1
"13","tpoly1_lag3",-0.000333240315888415,3.41265623848419e-05,-9.76483690711349,2.25255258080233e-22,1
"14","tpoly2_lag3",-8.84946687463641e-06,2.03651188902765e-06,-4.34540398330875,1.41090371803851e-05,1
"15","tpoly3_lag3",6.20245376392768e-07,1.4107320340005e-07,4.39662077165641,1.11662367117753e-05,1
"16","tpoly4_lag3",-1.27945155938047e-08,4.48812336090059e-09,-2.85074953716009,0.00437507161241132,1
"17","tpoly1",-0.000347993665744362,3.24967700146754e-05,-10.7085616689662,1.53696200889464e-26,2
"18","tpoly2",-1.59209997806474e-05,2.07516877801895e-06,-7.67214693536703,1.9375323434384e-14,2
"19","tpoly3",9.33259538028421e-07,1.41656931753516e-07,6.58816710538599,4.79891586901824e-11,2
"20","tpoly4",5.127190212816e-08,4.83594727682505e-09,10.6022458875568,4.72556894114031e-26,2
"21","tpoly1_lag1",-0.000583396141007192,3.32637341449292e-05,-17.5385041999599,2.46997043261596e-67,2
"22","tpoly2_lag1",-3.05693385776884e-05,2.32388655803576e-06,-13.1544022542679,4.99871481501138e-39,2
"23","tpoly3_lag1",-2.37271249464403e-07,1.44839415941586e-07,-1.63816767640167,0.101434737433015,2
"24","tpoly4_lag1",5.07160055604445e-08,5.1726990603431e-09,9.80455367088,1.53707992115888e-22,2
"25","tpoly1_lag2",-0.000334938380765389,3.18539133845254e-05,-10.5148267568311,1.18054593270571e-25,2
"26","tpoly2_lag2",-1.27926817462303e-05,2.08189316709827e-06,-6.14473496930711,8.47979367331961e-10,2
"27","tpoly3_lag2",4.90308909921203e-07,1.3005292241083e-07,3.77007222007933,0.00016463569154976,2
"28","tpoly4_lag2",-7.27929990855721e-09,4.47028552660009e-09,-1.62837471236284,0.103493534461464,2
"29","tpoly1_lag3",-0.000320455545602643,3.19756527415181e-05,-10.0218609513029,1.80204323641966e-23,2
"30","tpoly2_lag3",-9.89592535777739e-06,2.02402617781707e-06,-4.88922794884512,1.03643816211694e-06,2
"31","tpoly3_lag3",7.82062969722976e-07,1.37482258627081e-07,5.68846466106084,1.3371914777394e-08,2
"32","tpoly4_lag3",-1.72818634396681e-08,4.508193605028e-09,-3.83343417647229,0.000127550296075894,2
"33","tpoly1",-0.000348879474059917,3.1609500544046e-05,-11.0371713584583,4.37374137550468e-28,3
"34","tpoly2",-1.50454347710481e-05,2.06933678871316e-06,-7.27065543565014,3.97764019229341e-13,3
"35","tpoly3",1.15822500501728e-06,1.23097402347226e-07,9.40901256185913,6.7068722133077e-21,3
"36","tpoly4",4.26927671180462e-08,4.69481409455889e-09,9.0936012072396,1.23685793896472e-19,3
"37","tpoly1_lag1",-0.000630516697631384,3.28533573790218e-05,-19.1918497204793,5.47680270338388e-80,3
"38","tpoly2_lag1",-2.86208720368436e-05,2.22464147700805e-06,-12.8653863252321,1.9218520207021e-37,3
"39","tpoly3_lag1",-4.76399944667239e-08,1.37180581926961e-07,-0.347279431225104,0.72839214769676,3
"40","tpoly4_lag1",4.3925364749026e-08,5.1177096771974e-09,8.58301223001003,1.13269067930234e-17,3
"41","tpoly1_lag2",-0.000325353225843274,3.2089157638485e-05,-10.1390391579825,5.48689247356811e-24,3
"42","tpoly2_lag2",-1.04831292800436e-05,2.05777253343911e-06,-5.094406261961,3.59256699800123e-07,3
"43","tpoly3_lag2",1.77976898418086e-07,1.29771256937277e-07,1.37146624467164,0.170274904220762,3
"44","tpoly4_lag2",3.03629814685127e-09,4.34746912145319e-09,0.698405914344102,0.484947257964345,3
"45","tpoly1_lag3",-0.000292099446433047,3.33594825556269e-05,-8.75611442551518,2.51838056119786e-18,3
"46","tpoly2_lag3",-8.60895032239191e-06,1.92303642694575e-06,-4.47674843895965,7.70247471967962e-06,3
"47","tpoly3_lag3",4.03570700746652e-07,1.26090856487695e-07,3.20063414579181,0.0013775586029335,3
"48","tpoly4_lag3",-5.48691627252326e-09,4.12085055780493e-09,-1.33150091117257,0.183068871230851,3
"49","tpoly1",-0.000377303330973447,3.01014899525876e-05,-12.5343739319127,1.22941758167215e-35,4
"50","tpoly2",-1.18982447233077e-05,2.01865593161715e-06,-5.8941420065459,3.9520660899073e-09,4
"51","tpoly3",1.15114965801874e-06,1.20341852847112e-07,9.56566340623995,1.53680925120393e-21,4
"52","tpoly4",3.76972033174303e-08,4.80717746475293e-09,7.84185805367763,5.14183781219315e-15,4
"53","tpoly1_lag1",-0.000617475585701047,3.11561805244297e-05,-19.8187189606532,5.83025330383958e-85,4
"54","tpoly2_lag1",-2.95961125352416e-05,2.09940185324908e-06,-14.0974023098236,1.73268938964291e-44,4
"55","tpoly3_lag1",-4.88225224703183e-08,1.28782132028889e-07,-0.379109443997759,0.704618785476686,4
"56","tpoly4_lag1",4.51831172663617e-08,4.41530636971724e-09,10.2332915279116,2.13807283140189e-24,4
