"","term","estimate","std.error","statistic","p.value","boot"
"1","tpoly1",0.000150826831720061,0.000474203268589461,0.318063669549774,0.750459709546538,1
"2","tpoly2",-4.32174496671374e-05,3.33140522080436e-05,-1.29727387701886,0.194640912668739,1
"3","tpoly3",1.08831237367274e-06,1.25420698435368e-06,0.867729479463528,0.385614763502191,1
"4","tpoly4",1.25059578444058e-07,4.88488258748282e-08,2.56013478736448,0.0105137714012672,1
"5","tpoly1_lag1",0.000377476523225172,0.000634282547979233,0.595123615536607,0.551807616102884,1
"6","tpoly2_lag1",-3.32700923043666e-05,3.46770864626952e-05,-0.959425825470022,0.33742483456428,1
"7","tpoly3_lag1",1.57483590363238e-06,1.91442155385616e-06,0.822617098339829,0.410793898631125,1
"8","tpoly4_lag1",-3.1074916883042e-08,7.26391826253538e-08,-0.427798273052093,0.668829990966316,1
"9","tpoly1_lag2",-0.000559719755016982,0.000539874319244167,-1.03675936243939,0.29993508778523,1
"10","tpoly2_lag2",5.95242349323074e-05,3.189498605044e-05,1.8662568103392,0.0621070445473101,1
"11","tpoly3_lag2",2.39408146165764e-06,1.30609665062509e-06,1.83300482434577,0.0669050599583969,1
"12","tpoly4_lag2",-1.51808818977332e-07,5.03252806170878e-08,-3.01655186252027,0.00257903713133921,1
"13","tpoly1_lag3",0.000308423258231549,0.000501435701135352,0.615080373282588,0.538550254911335,1
"14","tpoly2_lag3",5.21171373860054e-05,2.83314570968598e-05,1.83955019354729,0.0659372044037381,1
"15","tpoly3_lag3",-4.46541487353537e-06,1.32767740342966e-06,-3.36332821662876,0.00078015905320983,1
"16","tpoly4_lag3",7.47515336960857e-08,4.93017366143071e-08,1.51620488099385,0.129577338215809,1
"17","tpoly1:tmean",-5.5555090507196e-05,4.48456577530477e-05,-1.23880645954893,0.215518170299686,1
"18","tpoly2:tmean",4.1060016447786e-06,3.49513590524406e-06,1.17477596182111,0.240181514194602,1
"19","tpoly3:tmean",-1.56088939070385e-07,1.60526276912471e-07,-0.97235756084653,0.330954382808605,1
"20","tpoly4:tmean",-3.21617566230135e-09,4.18105264161911e-09,-0.76922630207686,0.441822080046456,1
"21","tmean:tpoly1_lag1",-7.72077602978894e-05,5.90783028465038e-05,-1.30687166993421,0.191360674470984,1
"22","tmean:tpoly2_lag1",7.82111767040623e-06,3.75142106055988e-06,2.0848413292319,0.0371716175168092,1
"23","tmean:tpoly3_lag1",-5.88761559224704e-07,2.02886350156696e-07,-2.90192789593772,0.00373689851986727,1
"24","tmean:tpoly4_lag1",1.33697905609927e-08,6.1494212578596e-09,2.17415428222691,0.0297747503203763,1
"25","tmean:tpoly1_lag2",1.4204826175536e-05,5.0972983766556e-05,0.2786736252402,0.78051531890452,1
"26","tmean:tpoly2_lag2",-4.59030406727455e-06,3.44018683352481e-06,-1.33431824764335,0.18220510521439,1
"27","tmean:tpoly3_lag2",-1.4768813042167e-07,1.59102430074917e-07,-0.928258168980371,0.353351482477412,1
"28","tmean:tpoly4_lag2",1.01356549733109e-08,4.09067136641778e-09,2.47774853206717,0.0132783902414879,1
"29","tmean:tpoly1_lag3",-5.46182526026297e-05,4.67637980554937e-05,-1.16796015023877,0.24291955138588,1
"30","tmean:tpoly2_lag3",-6.61105254200265e-06,3.13081356639719e-06,-2.11160850104862,0.0348059910759702,1
"31","tmean:tpoly3_lag3",6.14284990416189e-07,1.51976525460176e-07,4.04197285440083,5.43920315568212e-05,1
"32","tmean:tpoly4_lag3",-1.17674203339153e-08,3.90733480273565e-09,-3.01162324909464,0.00262114175073784,1
"33","tpoly1",0.000557336887075244,0.0005156304440605,1.08088436882492,0.279840684987259,2
"34","tpoly2",-7.23653012147947e-05,3.33542092824088e-05,-2.16960026250601,0.03012013540504,2
"35","tpoly3",3.14475215635096e-06,1.34840229821956e-06,2.33220616762766,0.0197596686095383,2
