"","term","estimate","std.error","statistic","p.value","boot"
"1","tpoly1",0.000224350702190148,0.000240325992275698,0.933526582229926,0.350626436510157,1
"2","tpoly2",-4.50256177545486e-05,1.46001533211636e-05,-3.08391403597671,0.00206234438445181,1
"3","tpoly3",1.94188344829943e-06,7.01332717892457e-07,2.76884765070549,0.00566152383623905,1
"4","tpoly4",1.13229541850318e-07,2.57540021465973e-08,4.39658043071487,1.13953485131565e-05,1
"5","tpoly1_lag1",-4.85681387218217e-05,0.0002354552946428,-0.206273291902407,0.836592025308201,1
"6","tpoly2_lag1",3.16097243615734e-05,1.49984028405668e-05,2.10753936252981,0.035157103133443,1
"7","tpoly3_lag1",1.6548172692833e-06,5.96867703682489e-07,2.77250261502438,0.00559850563722308,1
"8","tpoly4_lag1",-9.43286301010334e-08,2.69099800436032e-08,-3.50534002434002,0.000462986424773287,1
"9","tpoly1_lag2",-0.000562271663162189,0.000199721413642984,-2.81527980854016,0.00490662575619692,1
"10","tpoly2_lag2",8.96463008748493e-05,1.3099119331882e-05,6.84368915219048,9.39318207291162e-12,1
"11","tpoly3_lag2",3.9560760907158e-07,5.11758922774658e-07,0.773035098101802,0.439565070194392,1
"12","tpoly4_lag2",-1.20497152198982e-07,1.96396400262512e-08,-6.1354053352261,9.65809204434686e-10,1
"13","tpoly1_lag3",-0.00100454655381914,0.000209316873345653,-4.79916663077751,1.67452490464987e-06,1
"14","tpoly2_lag3",7.56481286423508e-05,1.40767468923468e-05,5.37397803774385,8.31717926578765e-08,1
"15","tpoly3_lag3",-4.8665658714763e-07,4.95238881603481e-07,-0.982670394481016,0.325852256995992,1
"16","tpoly4_lag3",-3.75294909777962e-08,2.16013940852215e-08,-1.7373643029582,0.0824298285228185,1
"17","tpoly1:tmean",-0.000107707179751928,2.41576135248687e-05,-4.45851903546061,8.56844223005836e-06,1
"18","tpoly2:tmean",5.7579990711857e-06,1.67694455281538e-06,3.4336251973977,0.000603981831774184,1
"19","tpoly3:tmean",-2.53498797352647e-07,9.18868259803221e-08,-2.75881547379746,0.00583780021273589,1
"20","tpoly4:tmean",-4.17787180277567e-11,2.34608128389193e-09,-0.0178078732031184,0.985793357807055,1
"21","tmean:tpoly1_lag1",-0.000127796392956039,2.31090883624838e-05,-5.53013563111856,3.48670985100428e-08,1
"22","tmean:tpoly2_lag1",-1.0906876780435e-06,1.6419084143741e-06,-0.664280460770567,0.506564021321444,1
"23","tmean:tpoly3_lag1",-2.62701552985325e-07,8.12955225823035e-08,-3.23143937871075,0.0012455671691849,1
"24","tmean:tpoly4_lag1",1.33684620567688e-08,2.35831734559984e-09,5.6686442482865,1.5819400435241e-08,1
"25","tmean:tpoly1_lag2",-4.72241472827924e-05,1.97265377991582e-05,-2.39393996876672,0.0167321050765539,1
"26","tmean:tpoly2_lag2",-9.3988586721336e-06,1.48037441542899e-06,-6.34897399885822,2.5099734859633e-10,1
"27","tmean:tpoly3_lag2",2.9453366960808e-07,6.95172311204652e-08,4.23684408686657,2.33800536002508e-05,1
"28","tmean:tpoly4_lag2",1.98959246039299e-09,1.70825173010196e-09,1.16469512387043,0.244238921156022,1
"29","tmean:tpoly1_lag3",5.357679176115e-06,2.10315620059517e-05,0.25474471057351,0.79893847556286,1
"30","tmean:tpoly2_lag3",-1.06441436915553e-05,1.6232113541141e-06,-6.55746010190063,6.46357346062884e-11,1
"31","tmean:tpoly3_lag3",4.70928364377223e-07,7.38923246239737e-08,6.37317024161444,2.14879762375843e-10,1
"32","tmean:tpoly4_lag3",-5.8626046971543e-09,1.88170083260913e-09,-3.11558808688272,0.00185386555388068,1
"33","tpoly1",0.000130405158210542,0.000257421110053135,0.506583000064075,0.612486916802976,2
"34","tpoly2",-3.10071616546223e-05,1.57073693693597e-05,-1.97405185588287,0.0484729854753054,2
"35","tpoly3",2.20349883860999e-06,8.33957008163279e-07,2.64222114214618,0.00828180205925405,2
"36","tpoly4",7.86612863445098e-08,2.69650607592391e-08,2.9171559095248,0.00356021235769948,2
"37","tpoly1_lag1",0.000118731163598748,0.000268271248109349,0.442578787087732,0.658104266189731,2
"38","tpoly2_lag1",4.44397951349821e-05,1.64986335721706e-05,2.69354397990522,0.00711140967950218,2
"39","tpoly3_lag1",3.16484413893595e-06,6.78321123288404e-07,4.66570187818012,3.21860881674691e-06,2
"40","tpoly4_lag1",-1.55103184301089e-07,2.69726017664361e-08,-5.75039759397979,9.85571198099782e-09,2
"41","tpoly1_lag2",-0.000792249370138921,0.000224346590056022,-3.53136354754083,0.000420027683718583,2
"42","tpoly2_lag2",8.84478039295109e-05,1.47186171879043e-05,6.00924684706094,2.10263198158493e-09,2
"43","tpoly3_lag2",2.84401509025496e-07,6.34547733827966e-07,0.448195610612016,0.654046352151036,2
"44","tpoly4_lag2",-1.19936523443454e-07,2.30518150464695e-08,-5.20291019174312,2.1021558016197e-07,2
"45","tpoly1_lag3",-0.00121378848040678,0.000258388798970216,-4.69752746730593,2.75899439602114e-06,2
"46","tpoly2_lag3",7.61027026653704e-05,1.70194108573945e-05,4.47152391484253,8.07223944907188e-06,2
"47","tpoly3_lag3",-6.56541941613151e-07,5.36685666461013e-07,-1.22332676768226,0.221308187680651,2
"48","tpoly4_lag3",-2.08945882063864e-08,2.34488790621512e-08,-0.891069809819282,0.372967495977264,2
"49","tpoly1:tmean",-9.31741949966001e-05,2.51996585027892e-05,-3.69743879609667,0.000221922982750162,2
"50","tpoly2:tmean",5.02547482148854e-06,1.82569535902042e-06,2.75263602805287,0.00594948473621134,2
"51","tpoly3:tmean",-3.25356076906066e-07,1.03076355796017e-07,-3.15645692354442,0.00161378022212157,2
"52","tpoly4:tmean",3.50514618686421e-09,2.44851274117099e-09,1.43154092193447,0.152385710117855,2
"53","tmean:tpoly1_lag1",-0.000137266445804613,2.5781038776379e-05,-5.32431788320256,1.09275335526002e-07,2
"54","tmean:tpoly2_lag1",-5.89323236726907e-07,1.82168889524744e-06,-0.323503776228959,0.74633765963309,2
"55","tmean:tpoly3_lag1",-4.98407616431705e-07,8.68440629150554e-08,-5.73910984472492,1.05274576099805e-08,2
"56","tmean:tpoly4_lag1",2.04921989342296e-08,2.2820153522933e-09,8.97986900641838,4.83164788468863e-19,2
"57","tmean:tpoly1_lag2",-2.56246321003475e-05,2.12834841174721e-05,-1.20396791986288,0.228702704082333,2
"58","tmean:tpoly2_lag2",-9.25235505974628e-06,1.632327538953e-06,-5.66819761288894,1.58865289520122e-08,2
"59","tmean:tpoly3_lag2",3.06093520302737e-07,7.97503074550997e-08,3.83814846701464,0.00012667885784306,2
"60","tmean:tpoly4_lag2",1.58392009607715e-09,1.95461003525854e-09,0.810350948529558,0.41780666101643,2
"61","tmean:tpoly1_lag3",1.9041874278853e-05,2.53002743514848e-05,0.752635090604679,0.451731845236768,2
"62","tmean:tpoly2_lag3",-1.08774030197932e-05,1.9819381543731e-06,-5.48826561302757,4.41837939516736e-08,2
"63","tmean:tpoly3_lag3",5.24017356403776e-07,7.83981715120038e-08,6.68405074120309,2.78908587866489e-11,2
"64","tmean:tpoly4_lag3",-8.15927538057472e-09,1.87785944994238e-09,-4.34498725707351,1.44190336268831e-05,2
"65","tpoly1",0.000417697451966284,0.000219349152794002,1.90425833264356,0.056974771824753,3
"66","tpoly2",-4.69050808055946e-05,1.36869684480208e-05,-3.4269883052428,0.000618758481734129,3
"67","tpoly3",1.83903460303192e-06,5.44190403952353e-07,3.37939550141891,0.000735992468922917,3
"68","tpoly4",1.06481181131283e-07,2.13518025233983e-08,4.9869879142333,6.49155308676965e-07,3
"69","tpoly1_lag1",0.000198696539568822,0.000223383505482474,0.88948617374263,0.373815147920741,3
"70","tpoly2_lag1",2.41452028454611e-05,1.40003683916379e-05,1.72461196520247,0.0847032869356979,3
"71","tpoly3_lag1",1.69691936752774e-06,5.26038596463337e-07,3.22584574389877,0.00126988323253942,3
"72","tpoly4_lag1",-1.03030469960574e-07,2.200306175823e-08,-4.68255150545293,2.96263009661813e-06,3
"73","tpoly1_lag2",-0.000349310022037445,0.000207395737920675,-1.68426808351794,0.0922367808444932,3
"74","tpoly2_lag2",5.62815223678734e-05,1.39555946412353e-05,4.03290033959395,5.65038925749751e-05,3
"75","tpoly3_lag2",-2.91912079967785e-07,4.54804283412021e-07,-0.641841096521365,0.52102676096744,3
"76","tpoly4_lag2",-6.79089161390072e-08,2.02865956881103e-08,-3.34747718064928,0.000825842296145588,3
"77","tpoly1_lag3",-0.000655002124232332,0.000211730689025103,-3.09356252156094,0.00199640390577397,3
"78","tpoly2_lag3",5.1174580820461e-05,1.30163406374053e-05,3.9315643502291,8.635639859753e-05,3
"79","tpoly3_lag3",-8.17241864189954e-07,5.68584184401956e-07,-1.43732781637171,0.150732050273333,3
"80","tpoly4_lag3",-4.21976988612069e-09,2.19708630111618e-08,-0.192062090777997,0.847706928722813,3
"81","tpoly1:tmean",-0.000131683293514916,2.26014921371035e-05,-5.82630972840681,6.2854750181106e-09,3
"82","tpoly2:tmean",6.77327142596233e-06,1.58671270484494e-06,4.26874468533623,2.02841116706295e-05,3
"83","tpoly3:tmean",-2.61388819910033e-07,8.2167266518287e-08,-3.18117945242658,0.00148215351253257,3
"84","tpoly4:tmean",1.27471134922411e-10,2.04531812882717e-09,0.0623233780240857,0.950309578650407,3
"85","tmean:tpoly1_lag1",-0.000150068169836272,2.19196753991658e-05,-6.8462770138459,9.20299437149058e-12,3
"86","tmean:tpoly2_lag1",1.0212249468074e-06,1.60059074924309e-06,0.638030019410228,0.523504186577634,3
"87","tmean:tpoly3_lag1",-3.53650954054102e-07,7.43638715055383e-08,-4.75568238842653,2.07373336787404e-06,3
"88","tmean:tpoly4_lag1",1.56164258110113e-08,1.90516015653793e-09,8.19690972300703,3.650599027175e-16,3
"89","tmean:tpoly1_lag2",-7.10234754042422e-05,2.02510638435668e-05,-3.50714786901452,0.000459770208476561,3
"90","tmean:tpoly2_lag2",-5.44189991778176e-06,1.52378468683009e-06,-3.5713050307012,0.000360943118677013,3
"91","tmean:tpoly3_lag2",2.73275748053468e-07,6.71799199343917e-08,4.06781890065291,4.8711662219266e-05,3
"92","tmean:tpoly4_lag2",-7.64000331876257e-10,1.81835421442961e-09,-0.420160343795233,0.674399247471649,3
"93","tmean:tpoly1_lag3",-3.32635560879696e-05,2.07258537562923e-05,-1.60493056059854,0.108617262462702,3
"94","tmean:tpoly2_lag3",-7.04994168014678e-06,1.520845730631e-06,-4.63554030376357,3.71633146235266e-06,3
"95","tmean:tpoly3_lag3",4.17843980324729e-07,7.48575501218296e-08,5.58185486493605,2.59803958304199e-08,3
"96","tmean:tpoly4_lag3",-7.26617960817642e-09,1.89824472786113e-09,-3.82784132178977,0.000131985779711567,3
"97","tpoly1",0.000252918651897909,0.000235035314020174,1.07608787620825,0.281977040270341,4
"98","tpoly2",-4.04141083648777e-05,1.39391354280105e-05,-2.8993267605153,0.00376761058613765,4
"99","tpoly3",2.31285178688828e-06,5.35636118399122e-07,4.31795337812692,1.62738086674296e-05,4
"100","tpoly4",8.64643410198203e-08,2.14116552636679e-08,4.03819041335567,5.52542665060974e-05,4
"101","tpoly1_lag1",0.00026741370371169,0.000229526087309452,1.16506888975612,0.244086471616878,4
"102","tpoly2_lag1",2.26181208494955e-05,1.36136886972747e-05,1.66142486084784,0.0967357172256312,4
"103","tpoly3_lag1",1.03356787904331e-06,6.01241023025325e-07,1.71905748187741,0.0857101090310034,4
"104","tpoly4_lag1",-7.08627578535257e-08,2.24254559768725e-08,-3.15992494986978,0.00159427461025472,4
"105","tpoly1_lag2",-0.000371359280961619,0.000229318760748768,-1.61940209230619,0.105468987895331,4
"106","tpoly2_lag2",6.89890513414502e-05,1.39753809588864e-05,4.93647017883851,8.40271312017021e-07,4
"107","tpoly3_lag2",-2.29919002798826e-07,4.17659833508015e-07,-0.550493450298265,0.582023164116325,4
"108","tpoly4_lag2",-9.40787752711792e-08,1.97416482487281e-08,-4.76549749473124,1.97619172009862e-06,4
"109","tpoly1_lag3",-0.00107355661500384,0.000216996800013253,-4.94733846277123,7.95071143387823e-07,4
"110","tpoly2_lag3",5.55114498742584e-05,1.41269993030638e-05,3.92945796084378,8.71156940687704e-05,4
"111","tpoly3_lag3",2.48467538042462e-07,5.21354181969121e-07,0.476581077961274,0.633696193595108,4
"112","tpoly4_lag3",-3.14648223149323e-08,2.07230647592978e-08,-1.51834792200873,0.129035192397706,4
"113","tpoly1:tmean",-0.000119872758130875,2.39508348267838e-05,-5.00495114253069,5.91975508097788e-07,4
"114","tpoly2:tmean",6.68269554217437e-06,1.57302684124398e-06,4.24830356797318,2.22145903614246e-05,4
"115","tpoly3:tmean",-3.09598998996626e-07,7.98817324624062e-08,-3.8757171314772,0.000108654944413844,4
"116","tpoly4:tmean",1.52777192735421e-09,2.04608717309256e-09,0.74667978346448,0.455317113185326,4
"117","tmean:tpoly1_lag1",-0.000157558197274024,2.26605062250278e-05,-6.95298665040438,4.39650070520353e-12,4
"118","tmean:tpoly2_lag1",5.29090083360196e-07,1.49170775428945e-06,0.354687492800638,0.722849387973476,4
"119","tmean:tpoly3_lag1",-2.71708258408849e-07,7.91824396809083e-08,-3.43142064710037,0.000608789752127417,4
"120","tmean:tpoly4_lag1",1.2767083339289e-08,2.04137659446017e-09,6.25415387534859,4.58218758580401e-10,4
"121","tmean:tpoly1_lag2",-6.39403342692907e-05,2.18665798938037e-05,-2.9241122562294,0.00348104308324105,4
"122","tmean:tpoly2_lag2",-6.88499546595975e-06,1.52314979556e-06,-4.52023529532657,6.42329499380644e-06,4
"123","tmean:tpoly3_lag2",2.80277186521889e-07,5.71388914196567e-08,4.90519118516655,9.84602991751206e-07,4
"124","tmean:tpoly4_lag2",1.09377513876423e-09,1.59409287171591e-09,0.686142669709621,0.492677733809976,4
"125","tmean:tpoly1_lag3",1.26872854526244e-05,2.12644464803205e-05,0.59664310869159,0.550792031609455,4
"126","tmean:tpoly2_lag3",-7.96831457908473e-06,1.6362200694984e-06,-4.86995284291281,1.17581137315244e-06,4
"127","tmean:tpoly3_lag3",3.20666643469637e-07,7.01540535992691e-08,4.57089258592718,5.05866759070488e-06,4
"128","tmean:tpoly4_lag3",-4.24798801831341e-09,1.65184528822662e-09,-2.57166215782468,0.0101703103175717,4
"129","tpoly1",0.000337830627078987,0.000258394445356936,1.30742217237805,0.191173770784829,5
"130","tpoly2",-3.82826271251013e-05,1.85407378340847e-05,-2.06478444750584,0.0390327510200344,5
