"","term","estimate","std.error","statistic","p.value","boot"
"1","tpoly1",0.000568332226941795,0.000281082143470389,2.02194354975689,0.0432729291591278,1
"2","tpoly2",-4.7769901306603e-05,1.83735221656181e-05,-2.59993162312633,0.00937106970930915,1
"3","tpoly3",1.8206017675338e-06,7.84841300821523e-07,2.31970688294322,0.0204251673352829,1
"4","tpoly4",1.23596922762204e-07,2.87254930243672e-08,4.30269108548841,1.7426164711995e-05,1
"5","tpoly1_lag1",-2.25953345371502e-05,0.000285311942307417,-0.0791951937041747,0.9368827774187,1
"6","tpoly2_lag1",-2.42021522918656e-06,1.79647011833251e-05,-0.134720594820303,0.892842045814988,1
"7","tpoly3_lag1",3.13097825165254e-06,8.66394536509996e-07,3.61380193400656,0.000306816832605844,1
"8","tpoly4_lag1",-8.83071838100162e-08,2.97433699793715e-08,-2.96897035780618,0.00301223020805746,1
"9","tpoly1_lag2",-0.000653811598178281,0.000235032557412972,-2.78179161804158,0.00544058429584748,1
"10","tpoly2_lag2",8.19296978648907e-05,1.45781138742149e-05,5.62004787257177,2.08848793585203e-08,1
"11","tpoly3_lag2",8.47351416465522e-07,6.01059324458849e-07,1.4097633660844,0.158715737721128,1
"12","tpoly4_lag2",-1.1443968667213e-07,2.04575861304377e-08,-5.59399754900027,2.42369589941132e-08,1
"13","tpoly1_lag3",-0.00139163586842862,0.00025382242752027,-5.48271436068228,4.54478812966768e-08,1
"14","tpoly2_lag3",0.00010304165340801,1.54414385862557e-05,6.67306046858395,2.98441543982645e-11,1
"15","tpoly3_lag3",-3.84830328975683e-07,6.15197401483497e-07,-0.625539587858624,0.531665709430365,1
"16","tpoly4_lag3",-7.21130664932614e-08,2.117760001783e-08,-3.40515763979618,0.000670160051955745,1
"17","tpoly1:tmean",-0.00012541104299116,2.73217934731174e-05,-4.59014680403593,4.615790898001e-06,1
"18","tpoly2:tmean",6.40538924910691e-06,2.15765130242246e-06,2.96868601609324,0.00301501019090891,1
"19","tpoly3:tmean",-2.77514092544248e-07,1.13189600663748e-07,-2.45176315595156,0.0142738221907258,1
"20","tpoly4:tmean",-7.57637325849278e-10,2.54642189755462e-09,-0.297530164414959,0.766082882452918,1
"21","tmean:tpoly1_lag1",-0.000128924464208717,2.85520799310845e-05,-4.51541409662269,6.56883812047469e-06,1
"22","tmean:tpoly2_lag1",3.50792144106166e-06,2.09916439977993e-06,1.67110372176158,0.0948080208276823,1
"23","tmean:tpoly3_lag1",-4.97772633787048e-07,1.04291565486868e-07,-4.772894447056,1.90502760068746e-06,1
"24","tmean:tpoly4_lag1",1.52456367116288e-08,2.72910703639831e-09,5.58630955411298,2.53223235893108e-08,1
"25","tmean:tpoly1_lag2",-4.21390552258568e-05,2.28288034861783e-05,-1.84587226620834,0.0650116054127265,1
"26","tmean:tpoly2_lag2",-7.72692923024388e-06,1.69431117975932e-06,-4.56051363087948,5.31230631490635e-06,1
"27","tmean:tpoly3_lag2",2.03850609805044e-07,7.32475106741903e-08,2.78303805724928,0.00541978247349393,1
