"","term","estimate","std.error","statistic","p.value","boot"
"1","tnpoly1",-0.000249644802529605,0.000217138174705888,-1.14970480371656,0.25035934072243,1
"2","tnpoly2",7.85998320712759e-06,1.79727310145911e-05,0.437328261394803,0.661905544267546,1
"3","tnpoly3",7.46480790436067e-06,7.30902575575083e-07,10.2131366803397,4.36549328948042e-24,1
"4","tnpoly4",1.83520213737508e-07,3.42187553352839e-08,5.36314696251606,8.81520076624093e-08,1
"5","tnpoly1_lag1",0.000174821001909322,0.00021262872708463,0.82218900666108,0.411036258625829,1
"6","tnpoly2_lag1",3.61402339310454e-05,1.79333720331978e-05,2.01525033128982,0.0439696139633638,1
"7","tnpoly3_lag1",6.67600286853233e-07,7.05539651216216e-07,0.94622646041568,0.344111145272779,1
"8","tnpoly4_lag1",-1.01887389743017e-07,3.46697988848576e-08,-2.93879379229735,0.00332066926991543,1
"9","tnpoly1_lag2",0.000158761062981705,0.000176170948683459,0.901176182385008,0.367568744796278,1
"10","tnpoly2_lag2",7.18466627244858e-05,1.53200385952605e-05,4.68971812817187,2.86105099356352e-06,1
"11","tnpoly3_lag2",-2.65893670393291e-06,5.11580413646401e-07,-5.19749512101286,2.15866158827942e-07,1
"12","tnpoly4_lag2",-1.12238937162468e-07,2.65184328455226e-08,-4.23248756124813,2.38223633653754e-05,1
"13","tnpoly1_lag3",0.000220509529360219,0.000187293460910721,1.17734772099348,0.239152405837459,1
"14","tnpoly2_lag3",5.29756065265762e-05,1.71367983870527e-05,3.09133627706098,0.00201132011383392,1
"15","tnpoly3_lag3",-3.20699543058848e-06,6.67729124137229e-07,-4.80283892773471,1.64294116627717e-06,1
"16","tnpoly4_lag3",-2.51994977877054e-08,3.14384411987057e-08,-0.801550484912175,0.422878049794995,1
"17","tnpoly1:tmean",-4.34995834425898e-05,2.07689970140605e-05,-2.09444796073401,0.0363058174643969,1
"18","tnpoly2:tmean",2.92992834051174e-07,1.51409158862211e-06,0.193510641134867,0.846572490921317,1
"19","tnpoly3:tmean",-5.0404208683627e-07,8.6293238973751e-08,-5.84103798664449,5.75800897383502e-09,1
"20","tnpoly4:tmean",-7.00304019639853e-10,2.59351592424159e-09,-0.270021098808036,0.787163044415243,1
"21","tmean:tnpoly1_lag1",-0.000134743970199615,1.93763543768788e-05,-6.95404138357427,4.35970499918163e-12,1
"22","tmean:tnpoly2_lag1",-2.1318313913183e-06,1.65112983844386e-06,-1.29113491966658,0.196758786960214,1
"23","tmean:tnpoly3_lag1",-6.66719648840064e-08,8.18600231810421e-08,-0.814463058928707,0.415445938927477,1
"24","tmean:tnpoly4_lag1",1.36293989906737e-08,2.96566866724121e-09,4.59572545686714,4.49485162186009e-06,1
"25","tmean:tnpoly1_lag2",-0.000122912178463545,1.66030721171954e-05,-7.40297805104678,1.73118863875152e-13,1
"26","tmean:tnpoly2_lag2",-2.88272730723156e-06,1.32621599542844e-06,-2.17364842315922,0.0298114005973054,1
"27","tmean:tnpoly3_lag2",4.52764840387858e-07,6.34733226274745e-08,7.13315171863839,1.23092719313424e-12,1
"28","tmean:tnpoly4_lag2",-3.86088120933385e-09,1.99736985968373e-09,-1.93298261241671,0.0533346192525126,1
"29","tmean:tnpoly1_lag3",-0.00012871813812124,1.80417130203091e-05,-7.1344743138495,1.21935022260613e-12,1
"30","tmean:tnpoly2_lag3",-1.8632966093701e-06,1.4712007557828e-06,-1.26651417357292,0.205429766546761,1
"31","tmean:tnpoly3_lag3",5.92184612167455e-07,8.15378438118839e-08,7.26269649138239,4.84069430318194e-13,1
