"","term","estimate","std.error","statistic","p.value","boot"
"1","txpoly1",0.00120518833909667,0.000378865878185404,3.18104218006905,0.00148280084527089,1
"2","txpoly2",-3.34420920636594e-05,2.19800838301735e-05,-1.52147245306459,0.128249262215911,1
"3","txpoly3",-2.16413212285321e-06,1.06337363371119e-06,-2.0351568388059,0.041924954731884,1
"4","txpoly4",1.12783196512272e-07,2.28903580788212e-08,4.92710494627962,8.80953678874781e-07,1
"5","txpoly1_lag1",-4.02542537582361e-05,0.000339253768754933,-0.11865528835824,0.905556597544624,1
"6","txpoly2_lag1",-2.78106003303901e-05,2.07351890392392e-05,-1.34122723828374,0.179950674229415,1
"7","txpoly3_lag1",2.55625507574264e-06,1.01808691852904e-06,2.51084168671569,0.0120978218347819,1
"8","txpoly4_lag1",-4.88980314218094e-08,2.11400510221049e-08,-2.3130517220928,0.0207887518947823,1
"9","txpoly1_lag2",-0.000848735753880348,0.000291652717102637,-2.91009033727488,0.00364048546560182,1
"10","txpoly2_lag2",6.7922257643295e-06,1.66297154506272e-05,0.408439085112147,0.682981200488994,1
"11","txpoly3_lag2",2.87235731035013e-06,7.33289049932602e-07,3.91708741677532,9.16721497201505e-05,1
"12","txpoly4_lag2",-7.34599243232589e-08,1.44166973472277e-08,-5.09547523638521,3.69950840272646e-07,1
"13","txpoly1_lag3",-0.00269869918558353,0.000314083950321525,-8.59228617960548,1.36396940467364e-17,1
"14","txpoly2_lag3",7.99104726624184e-05,1.63272016309999e-05,4.8943152947101,1.03988862210781e-06,1
"15","txpoly3_lag3",2.41827834384378e-06,7.92751166467896e-07,3.05048853427542,0.00230515818671645,1
"16","txpoly4_lag3",-8.91400980003775e-08,1.58673689296051e-08,-5.61782475694892,2.11524000381094e-08,1
"17","txpoly1:tmean",-0.000206232959567753,4.19147744583367e-05,-4.92029271856751,9.11915630576211e-07,1
"18","txpoly2:tmean",7.45301102006173e-06,3.14910469295575e-06,2.36670792074123,0.0180117873929639,1
"19","txpoly3:tmean",-1.78669646768625e-08,1.22039330865304e-07,-0.14640333202566,0.883613072164647,1
"20","txpoly4:tmean",-3.88219083347918e-09,1.88164906098322e-09,-2.0631853803018,0.0391829555106412,1
"21","tmean:txpoly1_lag1",-0.000163392779680876,3.9587461534021e-05,-4.12738714101328,3.77144527507242e-05,1
"22","tmean:txpoly2_lag1",9.73059445172477e-06,2.81493456517673e-06,3.45677465192299,0.000554466733499728,1
"23","tmean:txpoly3_lag1",-4.88979321923761e-07,1.14005845442903e-07,-4.28907237189563,1.85224899165198e-05,1
"24","tmean:txpoly4_lag1",8.72168889308553e-09,1.95032614730336e-09,4.47191302087842,8.04709102045186e-06,1
"25","tmean:txpoly1_lag2",-6.07753740727504e-06,3.21853433634e-05,-0.188829348149387,0.850239651420633,1
"26","tmean:txpoly2_lag2",-1.1169563886765e-06,2.2673512449189e-06,-0.492626094514284,0.622313731352176,1
"27","tmean:txpoly3_lag2",-1.30195064766468e-07,8.07996546311156e-08,-1.61133194641565,0.107215135853156,1
"28","tmean:txpoly4_lag2",4.16826552162023e-09,1.17461004525031e-09,3.54863772745276,0.000393313856999247,1
"29","tmean:txpoly1_lag3",0.00021326830897713,3.46042726339995e-05,6.1630629036135,8.11316550432256e-10,1
"30","tmean:txpoly2_lag3",-1.59647281900821e-05,2.36069308135684e-06,-6.76272926631621,1.6283198462679e-11,1
"31","tmean:txpoly3_lag3",3.07709770634332e-07,8.80103756395636e-08,3.4962897090057,0.000478786770625688,1
"32","tmean:txpoly4_lag3",-3.24888842850209e-10,1.34302880153979e-09,-0.241907576723391,0.80886871398496,1
"33","txpoly1",0.000848246580232643,0.000334714776982508,2.53423702377195,0.0113220121382344,2
"34","txpoly2",-3.53681320029178e-05,1.54385671251982e-05,-2.29089472592255,0.022041695420358,2
"35","txpoly3",-8.41171092420191e-08,8.68396141587456e-07,-0.0968649044067035,0.922840445672007,2
"36","txpoly4",5.28544742137964e-08,1.82647741881932e-08,2.89379291904757,0.00383489662489648,2
"37","txpoly1_lag1",-0.000232823517796332,0.000294581281792794,-0.790354079456068,0.429386334092528,2
"38","txpoly2_lag1",-5.06679879037374e-06,1.40165320635483e-05,-0.361487332772602,0.717761791185471,2
"39","txpoly3_lag1",3.14321522011039e-06,8.01455957115229e-07,3.92188141120583,8.99187008730332e-05,2
"40","txpoly4_lag1",-7.72701550304737e-08,1.71277602327181e-08,-4.51139868731168,6.69894884411034e-06,2
"41","txpoly1_lag2",-0.00105582719716584,0.000256610696023201,-4.11450969709533,3.98924695832336e-05,2
"42","txpoly2_lag2",2.89221962688906e-05,1.09214231962383e-05,2.64820763276094,0.00813629634199791,2
"43","txpoly3_lag2",2.02222896325073e-06,6.18569294117148e-07,3.2692036001188,0.00109124256867369,2
"44","txpoly4_lag2",-6.44213806223895e-08,1.4186488602154e-08,-4.54103777397095,5.82855523309918e-06,2
"45","txpoly1_lag3",-0.00240417097471555,0.000314342826013195,-7.64824508708412,2.76175385072402e-14,2
"46","txpoly2_lag3",7.13803698921539e-05,1.47339239587433e-05,4.84462727594,1.33586858048631e-06,2
"47","txpoly3_lag3",2.55318429656297e-06,7.76092580658513e-07,3.28979346046138,0.00101472847466502,2
"48","txpoly4_lag3",-8.97064608279545e-08,1.68785050169185e-08,-5.31483450329489,1.14943124467199e-07,2
"49","txpoly1:tmean",-0.00017681739766086,3.71360662177717e-05,-4.76133892652968,2.01853880865958e-06,2
"50","txpoly2:tmean",6.8605929312881e-06,2.27131673656561e-06,3.02053554259534,0.00254553565799811,2
"51","txpoly3:tmean",-1.48121973099883e-07,9.48696210982537e-08,-1.561321436569,0.118558220001606,2
"52","txpoly4:tmean",2.80849060997838e-10,1.55014230059771e-09,0.181176309355307,0.856241986914333,2
"53","tmean:txpoly1_lag1",-0.000128632917265012,3.16920914443759e-05,-4.05883333672631,5.06360084214629e-05,2
"54","tmean:txpoly2_lag1",7.34858950632917e-06,1.92884434624711e-06,3.80984060254892,0.000141974063253078,2
"55","tmean:txpoly3_lag1",-5.47148744961101e-07,8.41593897622306e-08,-6.50133926240341,9.35520649131008e-11,2
"56","tmean:txpoly4_lag1",1.12885458639842e-08,1.44038993036363e-09,7.83714577977812,6.44074986742641e-15,2
"57","tmean:txpoly1_lag2",3.03637402938595e-05,2.802325901206e-05,1.08351923952857,0.278669064775395,2
"58","tmean:txpoly2_lag2",-4.96145466554083e-06,1.68853864483206e-06,-2.93831277165367,0.00332635095193773,2
"59","tmean:txpoly3_lag2",3.03803745676721e-08,6.74959508718376e-08,0.450106623808573,0.652667567964429,2
"60","tmean:txpoly4_lag2",1.98879787209955e-09,1.1712049434015e-09,1.69807844758881,0.0896013952721757,2
"61","tmean:txpoly1_lag3",0.000193153782363356,3.45468084817515e-05,5.59107456960561,2.46892879433646e-08,2
"62","tmean:txpoly2_lag3",-1.4765110555716e-05,2.21216550341078e-06,-6.67450538079123,2.966334882932e-11,2
"63","tmean:txpoly3_lag3",2.62296048809484e-07,8.54062555643914e-08,3.07115734176787,0.00215229689452789,2
"64","tmean:txpoly4_lag3",2.63688754368784e-10,1.44726187915931e-09,0.182198369324808,0.855439924753677,2
"65","txpoly1",0.0014661142830645,0.000320001041345577,4.58159222513655,4.80371308601197e-06,3
"66","txpoly2",-2.80952847031067e-05,1.55054591849221e-05,-1.81196083057168,0.070092728219781,3
"67","txpoly3",-2.92986008948992e-06,9.5606821382694e-07,-3.06448854497767,0.00219991966465858,3
"68","txpoly4",1.17432587940934e-07,1.99017568031582e-08,5.90061415695211,4.02853045949624e-09,3
"69","txpoly1_lag1",-1.51987874737246e-05,0.000313623354599581,-0.0484619121976095,0.961351361609521,3
"70","txpoly2_lag1",-2.83098679856535e-05,1.5151065700731e-05,-1.86850671397245,0.0617893901705028,3
"71","txpoly3_lag1",2.77071921417478e-06,8.52235023039909e-07,3.25112103970061,0.00116229273981573,3
"72","txpoly4_lag1",-5.53674990898591e-08,1.86244451450724e-08,-2.97284019247725,0.00297418291600137,3
